"""Company History""","""Historia de la Compañía""",
"""Team Members"" or ""Management""","""Miembros del equipo"" o ""Administración""",
&lt;head&gt; HTML,&lt;head&gt; HTML,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Borrador; 1 - Enviado; 2 - Cancelado,
0 is highest,0 es más alto,
"1 Currency = [?] Fraction
For e.g. 1 USD = 100 Cent","1 Divisa = [?] Fracción
Por ej. 1 USD = 100 Centavos",
"<div class=""alert"">Please don't update it as it can mess up your form. Use the Customize Form View and Custom Fields to set properties!</div>","<div class=""alert"">Por favor, no lo actualice, ya que puede estropear su formulario. Utilice la opción Personalizar vista de formulario y campos personalizados para establecer las propiedades.</div>",
"<div class=""well"">
    Edit list of Series in the box. Rules:
    <ul>
        <li>Each Series Prefix on a new line.</li>
        <li>Allowed special characters are ""/"" and ""-""</li>
        <li>
            Optionally, set the number of digits in the series using dot (.)
            followed by hashes (#). For example, "".####"" means that the series
            will have four digits. Default is five digits.
        </li>
        <li>
            You can also use variables in the series name by putting them
            between (.) dots
            <br>
            Supported Variables:
            <ul>
                <li><code>.YYYY.</code> - Year in 4 digits</li>
                <li><code>.YY.</code> - Year in 2 digits</li>
                <li><code>.MM.</code> - Month</li>
                <li><code>.DD.</code> - Day of month</li>
                <li><code>.WW.</code> - Week of the year</li>
                <li><code>.FY.</code> - Fiscal Year</li>
                <li>
                    <code>.{fieldname}.</code> - fieldname on the document e.g.
                    <code>branch</code>
                </li>
            </ul>
        </li>
    </ul>
    Examples:
    <ul>
        <li>INV-</li>
        <li>INV-10-</li>
        <li>INVK-</li>
        <li>INV-.YYYY.-.{branch}.-.MM.-.####</li>
    </ul>
</div>
<br>
","<div class=""well"">
    Edita la lista de Series en el recuadro. Reglas:
    <ul>
        <li>Cada prefijo de Serie en una nueva línea.</li>
        <li>Los caracteres especiales permitidos son ""/"" y ""-""</li>
        <li>
            Opcionalmente, establece el número de dígitos en la serie usando un punto (.)
            seguido de almohadillas (#). Por ejemplo, "".####"" significa que la serie
            tendrá cuatro dígitos. El valor predeterminado es cinco dígitos.
        </li>
        <li>
            También puedes usar variables en el nombre de la serie colocándolas
            entre puntos (.)
            <br>
            Variables admitidas:
            <ul>
                <li><code>.YYYY.</code> - Año en 4 dígitos</li>
                <li><code>.YY.</code> - Año en 2 dígitos</li>
                <li><code>.MM.</code> - Mes</li>
                <li><code>.DD.</code> - Día del mes</li>
                <li><code>.WW.</code> - Semana del año</li>
                <li><code>.FY.</code> - Año fiscal</li>
                <li>
                    <code>.{fieldname}.</code> - nombre de campo en el documento p. ej.
                    <code>branch</code>
                </li>
            </ul>
        </li>
    </ul>
    Ejemplos:
    <ul>
        <li>INV-</li>
        <li>INV-10-</li>
        <li>INVK-</li>
        <li>INV-.AAAA.-.{branch}.-.MM.-.####</li>
    </ul>
</div>
<br>
",
"<h3>Custom CSS Help</h3>

<p>Notes:</p>

<ol>
<li>All field groups (label + value) are set attributes <code>data-fieldtype</code> and <code>data-fieldname</code></li>
<li>All values are given class <code>value</code></li>
<li>All Section Breaks are given class <code>section-break</code></li>
<li>All Column Breaks are given class <code>column-break</code></li>
</ol>

<h4>Examples</h4>

<p>1. Left align integers</p>

<pre><code>[data-fieldtype=""Int""] .value { text-align: left; }</code></pre>

<p>1. Add border to sections except the last section</p>

<pre><code>.section-break { padding: 30px 0px; border-bottom: 1px solid #eee; }
.section-break:last-child { padding-bottom: 0px; border-bottom: 0px;  }</code></pre>
","<h3>Ayuda para la personalizacion del CSS </h3>

<p>Notas:</p>

<ol>
<li>Todos los grupos de campos (etiqueta + valor) son atributos establecidos <code>data-fieldtype</code> y <code>data-fieldname</code></li>
<li>A todos los valores se les asigna la clase <code>value</code></li>
<li>A todos los saltos de sección se les asigna la clase <code>section-break</code></li>
<li>A todos los saltos de columna se les asigna la clase <code>column-break</code></li>
</ol>

<h4>Ejemplos</h4>

<p>1. Alinear enteros a la izquierda</p>

<pre><code>[data-fieldtype=""Int""] .value { text-align: left; }</code></pre>

<p>1. Agregar borde a las secciones excepto a la última sección</p>

<pre><code>.section-break { padding: 30px 0px; border-bottom: 1px solid #eee; }
.section-break:last-child { padding-bottom: 0px; border-bottom: 0px; }</code></pre>
",
"<h3>Print Format Help</h3>
<hr>
<h4>Introduction</h4>
<p>Print Formats are rendered on the server side using the Jinja Templating Language. All forms have access to the <code>doc</code> object which contains information about the document that is being formatted. You can also access common utilities via the <code>frappe</code> module.</p>
<p>For styling, the Boostrap CSS framework is provided and you can enjoy the full range of classes.</p>
<hr>
<h4>References</h4>
<ol>
	<li><a href=""http://jinja.pocoo.org/docs/templates/"" target=""_blank"">Jinja Templating Language</a></li>
	<li><a href=""http://getbootstrap.com"" target=""_blank"">Bootstrap CSS Framework</a></li>
</ol>
<hr>
<h4>Example</h4>
<pre><code>&lt;h3&gt;{{ doc.select_print_heading or ""Invoice"" }}&lt;/h3&gt;
&lt;div class=""row""&gt;
	&lt;div class=""col-md-3 text-right""&gt;Customer Name&lt;/div&gt;
	&lt;div class=""col-md-9""&gt;{{ doc.customer_name }}&lt;/div&gt;
&lt;/div&gt;
&lt;div class=""row""&gt;
	&lt;div class=""col-md-3 text-right""&gt;Date&lt;/div&gt;
	&lt;div class=""col-md-9""&gt;{{ doc.get_formatted(""invoice_date"") }}&lt;/div&gt;
&lt;/div&gt;
&lt;table class=""table table-bordered""&gt;
	&lt;tbody&gt;
		&lt;tr&gt;
			&lt;th&gt;Sr&lt;/th&gt;
			&lt;th&gt;Item Name&lt;/th&gt;
			&lt;th&gt;Description&lt;/th&gt;
			&lt;th class=""text-right""&gt;Qty&lt;/th&gt;
			&lt;th class=""text-right""&gt;Rate&lt;/th&gt;
			&lt;th class=""text-right""&gt;Amount&lt;/th&gt;
		&lt;/tr&gt;
		{%- for row in doc.items -%}
		&lt;tr&gt;
			&lt;td style=""width: 3%;""&gt;{{ row.idx }}&lt;/td&gt;
			&lt;td style=""width: 20%;""&gt;
				{{ row.item_name }}
				{% if row.item_code != row.item_name -%}
				&lt;br&gt;Item Code: {{ row.item_code}}
				{%- endif %}
			&lt;/td&gt;
			&lt;td style=""width: 37%;""&gt;
				&lt;div style=""border: 0px;""&gt;{{ row.description }}&lt;/div&gt;&lt;/td&gt;
			&lt;td style=""width: 10%; text-align: right;""&gt;{{ row.qty }} {{ row.uom or row.stock_uom }}&lt;/td&gt;
			&lt;td style=""width: 15%; text-align: right;""&gt;{{
				row.get_formatted(""rate"", doc) }}&lt;/td&gt;
			&lt;td style=""width: 15%; text-align: right;""&gt;{{
				row.get_formatted(""amount"", doc) }}&lt;/td&gt;
		&lt;/tr&gt;
		{%- endfor -%}
	&lt;/tbody&gt;
&lt;/table&gt;</code></pre>
<hr>
<h4>Common Functions</h4>
<table class=""table table-bordered"">
	<tbody>
		<tr>
			<td style=""width: 30%;""><code>doc.get_formatted(""[fieldname]"", [parent_doc])</code></td>
			<td>Get document value formatted as Date, Currency, etc. Pass parent <code>doc</code> for currency type fields.</td>
		</tr>
		<tr>
			<td style=""width: 30%;""><code>frappe.db.get_value(""[doctype]"", ""[name]"", ""fieldname"")</code></td>
			<td>Get value from another document.</td>
		</tr>
	</tbody>
</table>
","<h3>Ayuda para el formato de impresión</h3>
<hr>
<h4>Introducción</h4>
<p>Los Formatos de Impresión se renderizan en el lado del servidor utilizando el Lenguaje de Plantillas Jinja. Todos los formularios tienen acceso al objeto <code>doc</code> que contiene información sobre el documento que se está formateando. También puede acceder a utilidades comunes a través del módulo <code>frappe</code>.</p>
<p>Para el estilo, se proporciona el framework CSS Boostrap y puede disfrutar de toda la gama de clases.</p>
<hr>
<h4>Referencias</h4>
<ol>
	<li><a href=""http://jinja.pocoo.org/docs/templates/"" target=""_blank"">Lenguaje de plantillas Jinja</a></li>
	<li><a href=""http://getbootstrap.com"" target=""_blank"">Bootstrap CSS Framework</a></li>
</ol>
<hr>
<h4>Ejemplo</h4>
<pre><code>&lt;h3&gt;{{ doc.select_print_heading or ""Invoice"" }}&lt;/h3&gt;
&lt;div class=""row""&gt;
	&lt;div class=""col-md-3 text-right""&gt;Nombre del cliente&lt;/div&gt;
	&lt;div class=""col-md-9""&gt;{{ doc.customer_name }}&lt;/div&gt;
&lt;/div&gt;
&lt;div class=""row""&gt;
	&lt;div class=""col-md-3 text-right""&gt;Fecha&lt;/div&gt;
	&lt;div class=""col-md-9""&gt;{{ doc.get_formatted(""invoice_date"") }}&lt;/div&gt;
&lt;/div&gt;
&lt;table class=""table table-bordered""&gt;
	&lt;tbody&gt;
		&lt;tr&gt;
			&lt;th&gt;Sr&lt;/th&gt;
			&lt;th&gt;Nombre del artículo&lt;/th&gt;
			&lt;th&gt;Descripción&lt;/th&gt;
			&lt;th class=""text-right""&gt;Cantidad&lt;/th&gt;
			&lt;th class=""text-right""&gt;Tarifa&lt;/th&gt;
			&lt;th class=""text-right""&gt;Cantidad&lt;/th&gt;
		&lt;/tr&gt;
		{%- for row in doc.items -%}
		&lt;tr&gt;
			&lt;td style=""width: 3%;""&gt;{{ row.idx }}&lt;/td&gt;
			&lt;td style=""width: 20%;""&gt;
				{{ row.item_name }}
				{% if row.item_code != row.item_name -%}
				&lt;br&gt;Código de artículo: {{ row.item_code}}
				{%- endif %}
			&lt;/td&gt;
			&lt;td style=""width: 37%;""&gt;
				&lt;div style=""border: 0px;""&gt;{{ row.description }}&lt;/div&gt;&lt;/td&gt;
			&lt;td style=""width: 10%; text-align: right;""&gt;{{ row.qty }} {{ row.uom or row.stock_uom }}&lt;/td&gt;
			&lt;td style=""width: 15%; text-align: right;""&gt;{{
				row.get_formatted(""rate"", doc) }}&lt;/td&gt;
			&lt;td style=""width: 15%; text-align: right;""&gt;{{
				row.get_formatted(""amount"", doc) }}&lt;/td&gt;
		&lt;/tr&gt;
		{%- endfor -%}
	&lt;/tbody&gt;
&lt;/table&gt;</code></pre>
<hr>
<h4>Funciones comunes</h4>
<table class=""table table-bordered"">
	<tbody>
		<tr>
			<td style=""width: 30%;""><code>doc.get_formatted(""[fieldname]"", [parent_doc])</code></td>
			<td>Obtiene el valor del documento formateado como Fecha, Divisa, etc. Pase el <code>doc</code> padre para los campos de tipo divisa.</td>
		</tr>
		<tr>
			<td style=""width: 30%;""><code>frappe.db.get_value(""[doctype]"", ""[name]"", ""fieldname"")</code></td>
			<td>Obtener valor de otro documento.</td>
		</tr>
	</tbody>
</table>
",
