"""Company History""","""تاریخچه شرکت""",
"""Team Members"" or ""Management""","""اعضای تیم"" یا ""مدیریت""",
&lt;head&gt; HTML,&lt;head&gt; HTML,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - پیش‌نویس؛ 1 - ارسال شده 2 - لغو شد,
0 is highest,0 بالاترین است,
"1 Currency = [?] Fraction
For e.g. 1 USD = 100 Cent","1 واحد پول = [؟] کسر
برای مثال 1 USD = 100 سنت",
"<div class=""alert"">Please don't update it as it can mess up your form. Use the Customize Form View and Custom Fields to set properties!</div>","<div class=""alert"">لطفاً آن را به روز نکنید زیرا ممکن است فرم شما را به هم بریزد. از سفارشی‌سازی فرم View و Custom Fields برای تنظیم ویژگی ها استفاده کنید!</div>",
"<h5 class=""text-muted uppercase"">Or</h5>","<h5 class=""text-muted uppercase"">یا</h5>",
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,فهرستی از منابعی که پس از اجازه کاربر، برنامه مشتری به آن دسترسی خواهد داشت.<br> به عنوان مثال پروژه,
A symbol for this currency. For e.g. $,ن برای این ارز. به عنوان مثال $,
A0,A0,
A1,A1,
A2,A2,
A3,A3,
A4,A4,
A5,A5,
A6,A6,
A7,A7,
A8,A8,
A9,A9,
ALL,همه,
API,API,
API Access,دسترسی به API,
API Endpoint,نقطه پایانی API,
API Endpoint Args,API Endpoint Args,
API Key,کلید API,
API Key cannot be regenerated,کلید API قابل بازسازی نیست,
API Method,روش API,
API Secret,API Secret,
ASC,صعودی,
About,درباره,
About Us Settings,تنظیمات درباره ما,
About Us Team Member,درباره ما عضو تیم,
Accepted,پذیرفته,
Access Control,کنترل دسترسی,
Access Key ID,دسترسی به شناسه کلید,
Access Key Secret,دسترسی به رمز کلید,
Access Log,لاگ دسترسی,
Access Token,نشانه دسترسی,
Access Token URL,URL توکن دسترسی,
Account,حساب,
Account Deletion Settings,تنظیمات حذف اکانت,
Accounts Manager,مدیر حساب ها,
Accounts User,کاربر حسابها,
Action,اقدام,
Action / Route,اقدام / مسیر,
Action Label,برچسب اقدام,
Action Timeout (Seconds),مهلت زمانی عمل (ثانیه),
Action Type,نوع اقدام,
Actions,عملیات,
Activate,فعال کنید,
Active,فعال,
Active Directory,اکتیو دایرکتوری,
Active Domains,دامنه های فعال,
Active Sessions,نشست‌های فعال,
Activity Log,لاگ فعالیت,
Add Background Image,افزودن تصویر پس زمینه,
Add Border at Bottom,افزودن حاشیه در پایین,
Add Border at Top,افزودن حاشیه در بالا,
Add Custom Tags,افزودن تگ‌های سفارشی,
Add Gray Background,افزودن پس زمینه خاکستری,
Add Query Parameters,افزودن پارامترهای پرسمان,
Add Signature,افزودن امضا,
Add Space at Bottom,افزودن فضا در پایین,
Add Space at Top,افزودن فضا در بالا,
Add Total Row,افزودن ردیف کل,
Add Video Conferencing,افزودن ویدئو کنفرانس,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO",HTML در &lt;head&gt; بخشی از صفحه وب، که در درجه اول برای تأیید وب سایت و سئو استفاده می‌شود,
Additional Permissions,مجوزهای اضافی,
Address,نشانی,
Address And Contacts,آدرس و مخاطبین,
Address Line 1,خط 1 آدرس,
Address Line 2,خط 2 آدرس,
Address Template,الگوی آدرس,
Address Title,عنوان نشانی,
Address Type,نوع نشانی,
Address and other legal information you may want to put in the footer.,آدرس و سایر اطلاعات حقوقی که ممکن است بخواهید در پاورقی قرار دهید.,
Addresses And Contacts,آدرس ها و مخاطبین,
Adds a custom client script to a DocType,یک اسکریپت کلاینت سفارشی را به DocType اضافه می‌کند,
Adds a custom field to a DocType,یک فیلد سفارشی به DocType اضافه می‌کند,
Administrator,مدیر,
Advanced,پیشرفته,
Advanced Control,کنترل پیشرفته,
Advanced Settings,تنظیمات پیشرفته,
After Cancel,پس از لغو,
After Delete,پس از حذف,
After Insert,پس از درج,
After Rename,بعد از تغییر نام,
After Save,پس از ذخیره,
After Save (Submitted Document),پس از ذخیره (سند ارسالی),
After Submission,پس از ارسال,
After Submit,پس از ارسال,
Aggregate Function Based On,عملکرد کل بر اساس,
Alert,هشدار,
Align,تراز کردن,
Align Labels to the Right,برچسب ها را به سمت راست تراز کنید,
Align Right,تراز کردن به راست,
All,همه,
All Day,تمام روز,
"All possible Workflow States and roles of the workflow. Docstatus Options: 0 is ""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""","همه حالت های گردش کار ممکن و نقش های گردش کار. گزینه‌های Docstatus: 0 ""ذخیره شده""، 1 ""ارسال شده"" و 2 ""لغو شده"" است.",
Allocated To,اختصاص داده شده به,
Allot Points To Assigned Users,امتیاز به کاربران اختصاص داده شده اختصاص دهید,
Allow,اجازه,
Allow Auto Repeat,تکرار خودکار مجاز است,
Allow Bulk Edit,اجازه ویرایش انبوه,
Allow Bulk Editing,اجازه ویرایش انبوه,
Allow Comments,اجازه ارسال نظر,
Allow Consecutive Login Attempts ,اجازه تلاش های متوالی برای ورود به سیستم ,
Allow Delete,اجازه حذف,
Allow Dropbox Access,اجازه دسترسی به Dropbox را بدهید,
Allow Editing After Submit,اجازه ویرایش پس از ارسال,
Allow Guest,اجازه مهمان,
Allow Guest to View,به مهمان اجازه مشاهده بدهید,
Allow Guest to comment,اجازه دهید مهمان نظر بدهد,
Allow Guests to Upload Files,به مهمانان اجازه دهید فایل‌ها را آپلود کنند,
Allow Import (via Data Import Tool),اجازه درون‌بُرد (از طریق ابزار درون‌بُرد داده),
Allow Incomplete Forms,اجازه دادن به فرم های ناقص,
Allow Login After Fail,اجازه ورود پس از شکست,
Allow Login using Mobile Number,اجازه ورود با استفاده از شماره موبایل,
Allow Login using User Name,اجازه ورود با استفاده از نام کاربری,
Allow Modules,اجازه دادن به ماژول ها,
Allow Multiple Responses,اجازه دادن به پاسخ های متعدد,
Allow Older Web View Links (Insecure),اجازه دادن به پیوندهای مشاهده وب قدیمی (ناامن),
Allow Print,اجازه چاپ,
Allow Print for Cancelled,چاپ برای لغو مجاز است,
Allow Print for Draft,اجازه چاپ برای پیش‌نویس,
Allow Read On All Link Options,اجازه خواندن در همه گزینه‌های پیوند,
Allow Rename,اجازه تغییر نام,
Allow Roles,اجازه نقش ها,
Allow Self Approval,اجازه تایید خود,
Allow Sending Usage Data for Improving Applications,اجازه ارسال داده‌های استفاده برای بهبود برنامه‌ها,
Allow approval for creator of the document,اجازه تایید برای ایجاد کننده سند,
Allow document creation via Email,اجازه ایجاد سند از طریق ایمیل,
Allow events in timeline,رویدادها را در جدول زمانی مجاز کنید,
Allow in Quick Entry,مجاز در ثبت سریع,
Allow on Submit,در ارسال اجازه دهید,
Allow only one session per user,فقط یک نشست برای هر کاربر مجاز است,
Allow saving if mandatory fields are not filled,در صورت پر نشدن فیلدهای اجباری، ذخیره را مجاز کنید,
Allow user to login only after this hour (0-24),اجازه ورود کاربر فقط پس از این ساعت (0-24),
Allow user to login only before this hour (0-24),اجازه ورود کاربر فقط قبل از این ساعت (0-24),
"Allow users to log in without a password, using a login link sent to their email",به کاربران اجازه دهید بدون گذرواژه با استفاده از پیوند ورود به ایمیل آنها وارد شوند,
Allowed,مجاز,
Allowed File Extensions,پسوندهای فایل مجاز,
Allowed In Mentions,در ذکر نام مجاز است,
Allowed Modules,ماژول های مجاز,
Allowed Roles,نقش های مجاز,
Alternative Email ID,شناسه ایمیل جایگزین,
"Always add ""Draft"" Heading for printing draft documents","همیشه عنوان ""پیش‌نویس"" را برای چاپ اسناد پیش‌نویس اضافه کنید",
Always use this email address as sender address,همیشه از این آدرس ایمیل به عنوان آدرس فرستنده استفاده کنید,
Always use this name as sender name,همیشه از این نام به عنوان نام فرستنده استفاده کنید,
Amend,اصلاح,
Amend Counter,اصلاح شمارنده,
Amended Document Naming Settings,اصلاح تنظیمات نامگذاری سند,
Amended Documents,اسناد اصلاح شده,
Amended From,اصلاح از,
Amendment Naming Override,اصلاح نامگذاری لغو,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],یک فایل نماد با پسوند ico. باید 16 در 16 پیکسل باشد. با استفاده از یک ژنراتور فاویکون تولید شده است. [favicon-generator.org],
Analytics,تجزیه و تحلیل,
Announcement Widget,ویجت اعلامیه,
Announcements,اطلاعیه ها,
Annual,سالیانه,
Anonymization Matrix,ماتریس ناشناس سازی,
Anonymous responses,پاسخ های ناشناس,
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,می‌توان از هر زبان چاپگر مبتنی بر رشته استفاده کرد. نوشتن دستورات خام مستلزم دانش زبان مادری چاپگر است که توسط سازنده چاپگر ارائه شده است. لطفاً به کتابچه راهنمای توسعه دهنده ارائه شده توسط سازنده چاپگر در مورد نحوه نوشتن دستورات اصلی آنها مراجعه کنید. این دستورات در سمت سرور با استفاده از زبان قالب گیری Jinja ارائه می‌شوند.,
App,برنامه,
App Access Key,کلید دسترسی به برنامه,
App Client ID,شناسه مشتری برنامه,
App Client Secret,راز مشتری برنامه,
App ID,شناسه برنامه,
App Logo,لوگوی برنامه,
App Name,نام برنامه,
App Secret Key,کلید مخفی برنامه,
Append Emails to Sent Folder,ایمیل ها را به پوشه ارسال شده اضافه کنید,
Append To,علاوه بر,
"Append as communication against this DocType (must have fields: ""Sender"" and ""Subject""). These fields can be defined in the email settings section of the appended doctype.","به عنوان ارتباط در مقابل این DocType اضافه شود (باید دارای فیلدهای: ""فرستنده"" و ""موضوع""). این فیلدها را می‌توان در قسمت تنظیمات ایمیل از doctype پیوست شده تعریف کرد.",
Applicable For,قابل استفاده برای,
Application Logo,لوگوی برنامه,
Application Name,نام نرم‌افزار,
Application Version,نسخه برنامه,
Applied On,اعمال شد,
Apply Document Permissions,مجوزهای سند را اعمال کنید,
Apply Only Once,فقط یکبار درخواست دهید,
Apply Strict User Permissions,مجوزهای دقیق کاربر را اعمال کنید,
Apply To,درخواست به,
Apply To All Document Types,برای همه انواع اسناد اعمال شود,
Apply User Permission On,اعمال مجوز کاربر در,
Apply this rule if the User is the Owner,اگر کاربر مالک است، این قانون را اعمال کنید,
Apply this rule only once per document,این قانون را فقط یک بار در هر سند اعمال کنید,
Appreciation,قدردانی,
Apps,برنامه ها,
Archived,بایگانی شد,
Arguments,استدلال ها,
Arial,آریال,
Assign Condition,تعیین شرط,
Assign To Users,اختصاص به کاربران,
Assigned,اختصاص داده,
Assigned By,اختصاص داده شده توسط,
Assigned By Full Name,نام کامل اختصاص دهنده,
Assignment,تخصیص,
Assignment Completed,تخصیص انجام شد,
Assignment Days,روزهای تخصیص,
Assignment Rule,قانون تخصیص,
Assignment Rule Day,روز قانون تخصیص,
Assignment Rule User,کاربر قانون تخصیص,
Assignment Rules,قوانین تخصیص,
Assignments,تکالیف,
Attach,پیوست,
Attach Image,پیوست تصویر,
Attach Package,پیوست بسته,
Attach Print,پیوست چاپ,
Attached File,فایل پیوست شده,
Attached To DocType,پیوست به DocType,
Attached To Field,پیوست به فیلد,
Attached To Name,پیوست به نام,
Attachment,دلبستگی,
Attachment Limit (MB),محدودیت پیوست (MB),
Attachment Link,لینک پیوست,
Attachment Removed,پیوست حذف شد,
Attachments,فایل های پیوست,
Audience,حضار,
Audit System Hooks,قلاب های سیستم حسابرسی,
Audit Trail,مسیر حسابرسی,
Auth URL Data,داده های URL را تأیید کنید,
Authentication,احراز هویت,
Author,نویسنده,
Authorization Code,کد مجوز,
Authorization URI,URI مجوز,
Authorize API Access,مجوز دسترسی به API,
Authorize API Indexing  Access,مجوز API Indexing Access,
Authorize Google Calendar Access,مجوز دسترسی به تقویم Google,
Authorize Google Contacts Access,مجوز دسترسی به Google Contacts,
Authorize Google Drive Access,مجوز دسترسی به Google Drive,
Authorize URL,مجوز URL,
Authorized,مجاز,
Auto,خودکار,
Auto Email Report,گزارش خودکار ایمیل,
Auto Name,نام خودکار,
Auto Repeat,خودکار تکرار,
Auto Repeat Day,روز تکرار خودکار,
Auto Reply,پاسخ خودکار,
Auto Reply Message,پیام پاسخ خودکار,
