"""Company History""","""Şirket Geçmişi""",
"""Team Members"" or ""Management""","""Ekip Üyeleri"" veya ""Yönetim""",
&lt;head&gt; HTML,&lt;head&gt; HTML,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Taslak; 1 - Gönderildi; 2 -İptal Edildi,
0 is highest,0 en yüksek seviyedir,
"1 Currency = [?] Fraction
For e.g. 1 USD = 100 Cent","1 Para Birimi = [?] Kesir
Örneğin 1 TL = 100 Kuruş",
"<div class=""alert"">Please don't update it as it can mess up your form. Use the Customize Form View and Custom Fields to set properties!</div>","<div class=""alert"">Formunuzu bozabileceği için lütfen güncellemeyin. Özellikleri ayarlamak için Form Görünümünü Özelleştir ve Özel Alanları kullanın!</div>",
"<div class=""well"">
    Edit list of Series in the box. Rules:
    <ul>
        <li>Each Series Prefix on a new line.</li>
        <li>Allowed special characters are ""/"" and ""-""</li>
        <li>
            Optionally, set the number of digits in the series using dot (.)
            followed by hashes (#). For example, "".####"" means that the series
            will have four digits. Default is five digits.
        </li>
        <li>
            You can also use variables in the series name by putting them
            between (.) dots
            <br>
            Supported Variables:
            <ul>
                <li><code>.YYYY.</code> - Year in 4 digits</li>
                <li><code>.YY.</code> - Year in 2 digits</li>
                <li><code>.MM.</code> - Month</li>
                <li><code>.DD.</code> - Day of month</li>
                <li><code>.WW.</code> - Week of the year</li>
                <li><code>.FY.</code> - Fiscal Year</li>
                <li>
                    <code>.{fieldname}.</code> - fieldname on the document e.g.
                    <code>branch</code>
                </li>
            </ul>
        </li>
    </ul>
    Examples:
    <ul>
        <li>INV-</li>
        <li>INV-10-</li>
        <li>INVK-</li>
        <li>INV-.YYYY.-.{branch}.-.MM.-.####</li>
    </ul>
</div>
<br>
","<div class=""well"">
    Kutudaki Seri listesini düzenleyin. Kurallar:
    <ul>
        <li>Her Seri Öneki yeni bir satırda.</li>
        <li>İzin verilen özel karakterler ""/"" ve ""-"" dir</li>
        <li>
            İsteğe bağlı olarak, nokta (.)
            ve ardından karma (#) kullanarak serideki basamak sayısını ayarlayın. Örneğin, "".####"",
            serisinin dört basamaklı olacağı anlamına gelir. Varsayılan değer beş basamaktır.
        </li>
        <li>
            Değişkenleri seri adında (.) noktalarının arasına
            koyarak da kullanabilirsiniz
            <br>
            Desteklenen Değişkenler:
            <ul>
                <li><code>.YYYY.</code> - 4 basamaklı yıl</li>
                <li><code>.YY.</code> - 2 basamaklı yıl</li>
                <li><code>.MM.</code> - Ay</li>
                <li><code>.DD.</code> - Ayın günü</li>
                <li><code>.WW.</code> - Yılın haftası</li>
                <li><code>.FY.</code> - Mali Yıl</li>
                <li>
                    <code>.{fieldname}.</code> - belgedeki alan adı, örneğin
                    <code>branch</code>
                </li>
            </ul>
        </li>
    </ul>
    Örnekler:
    <ul>
        <li>URN-</li>
        <li>URN-10-</li>
        <li>URNT-</li>
        <li>URN-.YYYY.-.{branch}.-.MM.-.####</li>
    </ul>
</div>
<br>
",
"<h3>Custom CSS Help</h3>

<p>Notes:</p>

<ol>
<li>All field groups (label + value) are set attributes <code>data-fieldtype</code> and <code>data-fieldname</code></li>
<li>All values are given class <code>value</code></li>
<li>All Section Breaks are given class <code>section-break</code></li>
<li>All Column Breaks are given class <code>column-break</code></li>
</ol>

<h4>Examples</h4>

<p>1. Left align integers</p>

<pre><code>[data-fieldtype=""Int""] .value { text-align: left; }</code></pre>

<p>1. Add border to sections except the last section</p>

<pre><code>.section-break { padding: 30px 0px; border-bottom: 1px solid #eee; }
.section-break:last-child { padding-bottom: 0px; border-bottom: 0px;  }</code></pre>
","<h3>Özel CSS Yardımı</h3>

<p>Notlar:</p>

<ol>
<li>Tüm alan grupları (etiket + değer) <code>data-fieldtype</code> ve <code>data-fieldname</code> özniteliklerini ayarlar</li>
<li>Tüm değerlere sınıf <code>değeri</code> verilir</li>
<li>Tüm Bölüm Araları sınıf <code>bölüm</code> arası olarak verilir</li>
<li>Tüm Sütun Sonlarına <code>sütun</code> sonu sınıfı verilir</li>
</ol>

<h4>Örnekler</h4>

<p>1. Tamsayıları sola hizalama</p>

<pre><code>[data-fieldtype=""Int""] .value { text-align: left; }</code></pre>

<p>1. Son bölüm dışındaki bölümlere kenarlık ekleyin</p>

<pre><code>.section-break { padding: 30px 0px; border-bottom: 1px solid #eee; }
.section-break:last-child { padding-bottom: 0px; border-bottom: 0px; }</code></pre>
",
"<h3>Print Format Help</h3>
<hr>
<h4>Introduction</h4>
<p>Print Formats are rendered on the server side using the Jinja Templating Language. All forms have access to the <code>doc</code> object which contains information about the document that is being formatted. You can also access common utilities via the <code>frappe</code> module.</p>
<p>For styling, the Boostrap CSS framework is provided and you can enjoy the full range of classes.</p>
<hr>
<h4>References</h4>
<ol>
	<li><a href=""http://jinja.pocoo.org/docs/templates/"" target=""_blank"">Jinja Templating Language</a></li>
	<li><a href=""http://getbootstrap.com"" target=""_blank"">Bootstrap CSS Framework</a></li>
</ol>
<hr>
<h4>Example</h4>
<pre><code>&lt;h3&gt;{{ doc.select_print_heading or ""Invoice"" }}&lt;/h3&gt;
&lt;div class=""row""&gt;
	&lt;div class=""col-md-3 text-right""&gt;Customer Name&lt;/div&gt;
	&lt;div class=""col-md-9""&gt;{{ doc.customer_name }}&lt;/div&gt;
&lt;/div&gt;
&lt;div class=""row""&gt;
	&lt;div class=""col-md-3 text-right""&gt;Date&lt;/div&gt;
	&lt;div class=""col-md-9""&gt;{{ doc.get_formatted(""invoice_date"") }}&lt;/div&gt;
&lt;/div&gt;
&lt;table class=""table table-bordered""&gt;
	&lt;tbody&gt;
		&lt;tr&gt;
			&lt;th&gt;Sr&lt;/th&gt;
			&lt;th&gt;Item Name&lt;/th&gt;
			&lt;th&gt;Description&lt;/th&gt;
			&lt;th class=""text-right""&gt;Qty&lt;/th&gt;
			&lt;th class=""text-right""&gt;Rate&lt;/th&gt;
			&lt;th class=""text-right""&gt;Amount&lt;/th&gt;
		&lt;/tr&gt;
		{%- for row in doc.items -%}
		&lt;tr&gt;
			&lt;td style=""width: 3%;""&gt;{{ row.idx }}&lt;/td&gt;
			&lt;td style=""width: 20%;""&gt;
				{{ row.item_name }}
				{% if row.item_code != row.item_name -%}
				&lt;br&gt;Item Code: {{ row.item_code}}
				{%- endif %}
			&lt;/td&gt;
			&lt;td style=""width: 37%;""&gt;
				&lt;div style=""border: 0px;""&gt;{{ row.description }}&lt;/div&gt;&lt;/td&gt;
			&lt;td style=""width: 10%; text-align: right;""&gt;{{ row.qty }} {{ row.uom or row.stock_uom }}&lt;/td&gt;
			&lt;td style=""width: 15%; text-align: right;""&gt;{{
				row.get_formatted(""rate"", doc) }}&lt;/td&gt;
			&lt;td style=""width: 15%; text-align: right;""&gt;{{
				row.get_formatted(""amount"", doc) }}&lt;/td&gt;
		&lt;/tr&gt;
		{%- endfor -%}
	&lt;/tbody&gt;
&lt;/table&gt;</code></pre>
<hr>
<h4>Common Functions</h4>
<table class=""table table-bordered"">
	<tbody>
		<tr>
			<td style=""width: 30%;""><code>doc.get_formatted(""[fieldname]"", [parent_doc])</code></td>
			<td>Get document value formatted as Date, Currency, etc. Pass parent <code>doc</code> for currency type fields.</td>
		</tr>
		<tr>
			<td style=""width: 30%;""><code>frappe.db.get_value(""[doctype]"", ""[name]"", ""fieldname"")</code></td>
			<td>Get value from another document.</td>
		</tr>
	</tbody>
</table>
","<h3>Yazdırma Biçimi Yardımı</h3>
<hr>
<h4>Giriş</h4>
<p>Yazdırma Formatları Jinja Templating Language kullanılarak sunucu tarafında oluşturulur. Tüm formlar, biçimlendirilmekte olan belge hakkında bilgi içeren <code>doc</code> nesnesine erişebilir. Ayrıca <code>frappe</code> modülü aracılığıyla ortak yardımcı programlara da erişebilirsiniz.</p>
<p>Stil oluşturma için Boostrap CSS çerçevesi sağlanmıştır ve tüm sınıfların keyfini çıkarabilirsiniz.</p>
<hr>
<h4>Referanslar</h4>
<ol>
	<li><a href=""http://jinja.pocoo.org/docs/templates/"" target=""_blank"">Jinja Şablonlama Dili</a></li>
	<li><a href=""http://getbootstrap.com"" target=""_blank"">Bootstrap CSS Çerçevesi</a></li>
</ol>
<hr>
<h4>Örnek</h4>
<pre><code>&lt;h3&gt;{{ doc.select_print_heading or ""Invoice"" }}&lt;/h3&gt;
&lt;div class=""row""&gt;
	&lt;div class=""col-md-3 text-right""&gt;Müşteri Adı&lt;/div&gt;
	&lt;div class=""col-md-9""&gt;{{ doc.customer_name }}&lt;/div&gt;
&lt;/div&gt;
&lt;div class=""row""&gt;
	&lt;div class=""col-md-3 text-right""&gt;Date&lt;/div&gt;
	&lt;div class=""col-md-9""&gt;{{ doc.get_formatted(""invoice_date"") }}&lt;/div&gt;
&lt;/div&gt;
&lt;table class=""table-bordered""&gt;
	&lt;tbody&gt;
		&lt;tr&gt;
			&lt;th&gt;Sr&lt;/th&gt;
			&lt;th&gt;Öğe Adı&lt;/th&gt;
			&lt;th&gt;Açıklama&lt;/th&gt;
			&lt;th class=""text-right""&gt;Adet&lt;/th&gt;
			&lt;th class=""text-right""&gt;Oran&lt;/th&gt;
			&lt;th class=""text-right""&gt;Tutar&lt;/th&gt;
		&lt;/tr&gt;
		{%- for row in doc.items -%}
		&lt;tr&gt;
			&lt;td style=""width: 3%;""&gt;{{ row.idx }}&lt;/td&gt;
			&lt;td style=""width: 20%;""&gt;
				{{ row.item_name }}
				{% if row.item_code != row.item_name -%}
				&lt;br&gt;Ürün Kodu: {{ row.item_code}}
				{%- endif %}
			&lt;/td&gt;
			&lt;td style=""width: 37%;""&gt;
				&lt;div style=""border: 0px;""&gt;{{ row.description }}&lt;/div&gt;&lt;/td&gt;
			&lt;td style=""width: 10%; text-align: right;""&gt;{{ row.qty }} {{ row.uom or row.stock_uom }}&lt;/td&gt;
			&lt;td style=""width: 15%; text-align: right;""&gt;{{
				row.get_formatted(""rate"", doc) }}&lt;/td&gt;
			&lt;td style=""width: 15%; text-align: right;""&gt;{{
				row.get_formatted(""amount"", doc) }}&lt;/td&gt;
		&lt;/tr&gt;
		{%- endfor -%}
	&lt;/tbody&gt;
&lt;/table&gt;</code></pre>
<hr>
<h4>Ortak İşlevler</h4>
<table class=""table table-bordered"">
	<tbody>
		<tr>
			<td style=""width: 30%;""><code>doc.get_formatted(""[fieldname]"", [parent_doc])</code></td>
			<td>Tarih, Para Birimi vb. olarak biçimlendirilmiş belge değerini alın. Para birimi türü alanlar için üst <code>dokümanı</code> geçirin.</td>
		</tr>
		<tr>
			<td style=""width: 30%;""><code>frappe.db.get_value(""[doctype]"", ""[name]"", ""fieldname"")</code></td>
			<td>Başka bir belgeden değer alın.</td>
		</tr>
	</tbody>
</table>
",
