 to your browser,到您的浏览器,
"""Company History""",“公司历史”,
"""Parent"" signifies the parent table in which this row must be added",“上级”表示本条记录必须依赖添加的父表,
"""Team Members"" or ""Management""",“团队成员”或“管理层”,
"""amended_from"" field must be present to do an amendment.",必须出现“modified_from”字段才能进行修改。,
"""{0}"" is not a valid Google Sheets URL",“ {0}”不是有效的Google表格网址,
#{0},#{0},
${values.doctype_name} has been added to queue for optimization,${values.doctype_name} 已添加到优化队列,
&copy; Frappe Technologies Pvt. Ltd. and contributors,&copy; Frappe Technologies 私营有限公司及贡献者,
&lt;head&gt; HTML,&lt;head&gt; HTML,
'In Global Search' is not allowed for field {0} of type {1},字段 {0}（类型 {1}）不允许在全局搜索中使用,
'In Global Search' not allowed for type {0} in row {1},第 {1} 行中类型 {0} 不允许全局搜索,
'In List View' is not allowed for field {0} of type {1},字段 {0}（类型 {1}）不允许在列表视图中显示,
'In List View' not allowed for type {0} in row {1},第 {1} 行中类型 {0} 不允许在列表视图中显示,
'Recipients' not specified,未指定'收件人',
'{0}' is not a valid URL,'{0}' 不是有效 URL,
'{0}' not allowed for type {1} in row {2},第 {2} 行中类型 {1} 不允许使用 '{0}',
(Mandatory),（必填）,
** Failed: {0} to {1}: {2},** 失败：{0} 到 {1}：{2},
+ Add / Remove Fields,+ 添加/移除字段,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - 草稿；1 - 已提交；2 - 已取消,
0 is highest,0 为最高,
1 = True & 0 = False,1 = 真；0 = 假,
"1 Currency = [?] Fraction
For e.g. 1 USD = 100 Cent","1货币 = [？]分
例如1美元 = 100 美分",
1 Day,1 天,
1 Google Calendar Event synced.,已同步 1 个 Google 日历事件。,
1 Report,1 份报表,
1 comment,1 条评论,
1 day ago,1 天前,
1 hour,1 小时,
1 hour ago,1 小时前,
1 minute ago,1 分钟前,
1 month ago,1 个月前,
1 of 2,第 1 项，共 2 项,
1 record will be exported,将导出 1 条记录,
1 second ago,1 秒前,
1 week ago,1 周前,
1 year ago,1 年前,
2 hours ago,2 小时前,
2 months ago,2 个月前,
2 weeks ago,2 周前,
2 years ago,2 年前,
3 minutes ago,3 分钟前,
30 minutes,30 分钟,
4 hours,4 小时,
5 Records,5 条记录,
5 days ago,5 天前,
; not allowed in condition,；条件中不允许,
<b>{0}</b> is not a valid URL,<b>{0}</b> 不是有效 URL,
"<div class=""alert"">Please don't update it as it can mess up your form. Use the Customize Form View and Custom Fields to set properties!</div>","<div class=""alert"">请不要更新它，否则会弄乱您的表单。使用自定义表单视图和自定义字段来设置属性！</div>",
